Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
9840485E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0132922F;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0492298G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0111024D;Privé;RECONNU PAR L'ETAT;50
0311177L;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0312186H;Privé;HORS CONTRAT;10
0730006K;Public;SANS OBJET;99
0801704T;Public;SANS OBJET;99
9830273E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0941355M;Public;SANS OBJET;99
9830271C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0632091F;Public;SANS OBJET;99
9840369D;Public;SANS OBJET;99
0691724Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0570279U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0640042Y;Public;SANS OBJET;99
0530040F;Public;SANS OBJET;99
0171432P;Public;SANS OBJET;99
0900355X;Public;SANS OBJET;99
0931388D;Public;SANS OBJET;99
0382893N;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0381733C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9840265R;Public;SANS OBJET;99
0721301Y;Public;SANS OBJET;99
0801336T;Public;SANS OBJET;99
9840419H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940132H;Public;SANS OBJET;99
0931369H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0850033Z;Public;SANS OBJET;99
0941724N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0620189U;Public;SANS OBJET;99
0931738J;Public;SANS OBJET;99
0592833J;Public;SANS OBJET;99
0220083W;Public;SANS OBJET;99
0400049L;Public;SANS OBJET;99
0660520G;Public;SANS OBJET;99
0350050P;Public;SANS OBJET;99
0421002L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0390094R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0421742R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0311971Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0352462L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9830401U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0290207T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0641665M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0590264S;Public;SANS OBJET;99
0390024P;Public;SANS OBJET;99
0420073B;Public;SANS OBJET;99
0352461K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0350709F;Public;SANS OBJET;99
0860752A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0811070Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0530079Y;Public;SANS OBJET;99
0332194F;Public;SANS OBJET;99
0570279U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0221865H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0190034J;Public;SANS OBJET;99
0130013U;Public;SANS OBJET;99
0311200L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0141868E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0501825M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0540067E;Public;SANS OBJET;99
0840041N;Public;SANS OBJET;99
9760125G;Public;SANS OBJET;99
0511149X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0801945E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0801951L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0550004F;Public;SANS OBJET;99
0641705F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0190008F;Public;SANS OBJET;99
0430023S;Public;SANS OBJET;99
0290130J;Public;SANS OBJET;99
0420021V;Public;SANS OBJET;99
0811144D;Public;SANS OBJET;99
0932282A;Public;SANS OBJET;99
0131463V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0381806G;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0541370W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0440033X;Public;SANS OBJET;99
0332496J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750419Y;Public;SANS OBJET;99
0501788X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0440035Z;Public;SANS OBJET;99
0752388N;Public;SANS OBJET;99
0640049F;Public;SANS OBJET;99
0623377J;Public;SANS OBJET;99
0752845K;Public;SANS OBJET;99
0601769X;Privé;SANS OBJET;99
0440255N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0752961L;Public;SANS OBJET;99
9830512P;Public;SANS OBJET;99
0440267B;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0441656L;Public;SANS OBJET;99
0761322Z;Public;SANS OBJET;99
0931193S;Public;SANS OBJET;99
0131606A;Public;SANS OBJET;99
0790038M;Public;SANS OBJET;99
0292139T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0560008E;Public;SANS OBJET;99
0271073V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0881651S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690109U;Public;SANS OBJET;99
0930831Y;Public;SANS OBJET;99
0840763Y;Public;SANS OBJET;99
0190027B;Public;SANS OBJET;99
0541357G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0391131T;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0332441Z;Public;SANS OBJET;99
0280009H;Public;SANS OBJET;99
0641770B;Public;SANS OBJET;99
0331460H;Public;SANS OBJET;99
0930946Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0631737W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0141867D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0680154Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0551032Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0861408N;Public;SANS OBJET;99
0371328T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0861113T;Public;SANS OBJET;99
0930135S;Public;SANS OBJET;99
0622089J;Public;SANS OBJET;99
0620095S;Public;SANS OBJET;99
0740047Z;Public;SANS OBJET;99
0311334G;Public;SANS OBJET;99
0341470N;Privé;SANS OBJET;99
0311138U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0620006V;Public;SANS OBJET;99
0721336L;Privé;SANS OBJET;99
0741669M;Public;SANS OBJET;99
0620108F;Public;SANS OBJET;99
0800011C;Public;SANS OBJET;99
0251202W;Public;SANS OBJET;99
0390012B;Public;SANS OBJET;99
0180036S;Public;SANS OBJET;99
0610698C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0840606C;Public;SANS OBJET;99
0210032W;Public;SANS OBJET;99
0341765J;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0090002D;Public;SANS OBJET;99
0442309W;Public;SANS OBJET;99
0950640E;Public;SANS OBJET;99
0750694X;Public;SANS OBJET;99
0755025E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0753946G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9720479N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0772751X;Public;SANS OBJET;99
0771663P;Public;SANS OBJET;99
0620109G;Public;SANS OBJET;99
0620161N;Public;SANS OBJET;99
0750684L;Public;SANS OBJET;99
0911828T;Public;SANS OBJET;99
0622116N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0350024L;Public;SANS OBJET;99
0590182C;Public;SANS OBJET;99
0140014P;Public;SANS OBJET;99
0920144G;Public;SANS OBJET;99
0760058A;Public;SANS OBJET;99
0022108F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0920147K;Public;SANS OBJET;99
0290160S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0800001S;Public;SANS OBJET;99
0140043W;Public;SANS OBJET;99
0061884R;Public;SANS OBJET;99
0770918E;Public;SANS OBJET;99
0941877E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0760110G;Public;SANS OBJET;99
0772120L;Public;SANS OBJET;99
0920149M;Public;SANS OBJET;99
0760005T;Public;SANS OBJET;99
0951937P;Public;SANS OBJET;99
0911577V;Public;SANS OBJET;99
0753933T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0500119H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0920142E;Public;SANS OBJET;99
0070003R;Public;SANS OBJET;99
0630068G;Public;SANS OBJET;99
0921399W;Public;SANS OBJET;99
0352341E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0931764M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0930127H;Public;SANS OBJET;99
0290338K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0352471W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0761713Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0730759D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0910687C;Public;SANS OBJET;99
0031043T;Public;SANS OBJET;99
0911938M;Public;SANS OBJET;99
0140004D;Public;SANS OBJET;99
0760029U;Public;SANS OBJET;99
0624430D;Public;SANS OBJET;99
0593106F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0620070P;Public;SANS OBJET;99
0420008F;Public;SANS OBJET;99
0671615S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610021S;Public;SANS OBJET;99
0740003B;Public;SANS OBJET;99
0762879S;Public;SANS OBJET;99
0620113L;Public;SANS OBJET;99
0753916Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0772737G;Public;SANS OBJET;99
0430055B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0383069E;Public;SANS OBJET;99
0941347D;Public;SANS OBJET;99
9710774P;Public;SANS OBJET;99
0783323N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0781899R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0950649P;Public;SANS OBJET;99
0920904H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0753231E;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0772840U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0741469V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9840339W;Public;SANS OBJET;99
9830635Y;Public;SANS OBJET;99
0595809U;Public;SANS OBJET;99
0622198C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0950785M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0911937L;Public;SANS OBJET;99
0130042A;Public;SANS OBJET;99
0920897A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0760095R;Public;SANS OBJET;99
0753887T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0420044V;Public;SANS OBJET;99
0922398G;Public;SANS OBJET;99
0620120U;Public;SANS OBJET;99
0451483T;Public;SANS OBJET;99
0761708U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0140056K;Public;SANS OBJET;99
0020048S;Public;SANS OBJET;99
0340009A;Public;SANS OBJET;99
0340075X;Public;SANS OBJET;99
0650062P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0021939X;Public;SANS OBJET;99
0131319N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0470065R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0870016V;Public;SANS OBJET;99
0331503E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0511135G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0133555U;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0440069L;Public;SANS OBJET;99
0640181Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0670071N;Public;SANS OBJET;99
0640052J;Public;SANS OBJET;99
0440024M;Public;SANS OBJET;99
9720004X;Public;SANS OBJET;99
9730328U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593136N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0770933W;Public;SANS OBJET;99
0694066V;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0260034W;Public;SANS OBJET;99
0753825A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0771720B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0611148S;Public;SANS OBJET;99
0770930T;Public;SANS OBJET;99
0022042J;Public;SANS OBJET;99
0350808N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610702G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0530068L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0134253C;Public;SANS OBJET;99
0061987C;Public;SANS OBJET;99
0641907A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0340871M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0070071P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0720896H;Public;SANS OBJET;99
0740100G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0720030S;Public;SANS OBJET;99
0171157R;Public;SANS OBJET;99
0131320P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131341M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690538K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0290198H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0300052U;Public;SANS OBJET;99
0430065M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0861228T;Public;SANS OBJET;99
0573227Y;Public;SANS OBJET;99
0421788R;Public;SANS OBJET;99
0690029G;Public;SANS OBJET;99
0490834R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0100022V;Public;SANS OBJET;99
0650026A;Public;SANS OBJET;99
0880036L;Public;SANS OBJET;99
0880020U;Public;SANS OBJET;99
0530048P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
7200719U;Public;SANS OBJET;99
0430947W;Public;SANS OBJET;99
0382854W;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0390091M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0570081D;Public;SANS OBJET;99
0130037V;Public;SANS OBJET;99
0880021V;Public;SANS OBJET;99
0490828J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0870864S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690035N;Public;SANS OBJET;99
0440149Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0080027L;Public;SANS OBJET;99
0300083C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0592966D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690028F;Public;SANS OBJET;99
0460038S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0470001W;Public;SANS OBJET;99
0850133H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130175V;Public;SANS OBJET;99
0681917P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0631068U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0440062D;Public;SANS OBJET;99
0440154D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0060075Z;Public;SANS OBJET;99
0440166S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0790031E;Public;SANS OBJET;99
0330022V;Public;SANS OBJET;99
0631985R;Public;SANS OBJET;99
0383263R;Public;SANS OBJET;99
0350710G;Public;SANS OBJET;99
0352867B;Public;SANS OBJET;99
0150030B;Public;SANS OBJET;99
0690671E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0570146Z;Public;SANS OBJET;99
0320051G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0850006V;Public;SANS OBJET;99
0850016F;Public;SANS OBJET;99
0541313J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0381670J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0640055M;Public;SANS OBJET;99
0301552Z;Public;SANS OBJET;99
0330135T;Public;SANS OBJET;99
0422158T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0720033V;Public;SANS OBJET;99
0440172Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0900003P;Public;SANS OBJET;99
0420041S;Public;SANS OBJET;99
0830923C;Public;SANS OBJET;99
0541318P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0100046W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0781860Y;Public;SANS OBJET;99
0693769X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0921663H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940885B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0951048Y;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0270003G;Public;SANS OBJET;99
0270044B;Public;SANS OBJET;99
0783447Y;Public;SANS OBJET;99
0753873C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0753268V;Public;SANS OBJET;99
0141796B;Public;SANS OBJET;99
0911913K;Public;SANS OBJET;99
0020049T;Public;SANS OBJET;99
0561698S;Public;SANS OBJET;99
0782565P;Public;SANS OBJET;99
0690519P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0950641F;Public;SANS OBJET;99
0781859X;Public;SANS OBJET;99
0783140P;Public;SANS OBJET;99
0753850C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0810004P;Public;SANS OBJET;99
0501299R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0762964J;Public;SANS OBJET;99
0141274J;Public;SANS OBJET;99
0951824S;Public;SANS OBJET;99
0370737A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0763409T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690048C;Public;SANS OBJET;99
0593139S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0590064Z;Public;SANS OBJET;99
0801841S;Public;SANS OBJET;99
0801226Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0022022M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0781898P;Public;SANS OBJET;99
0290186V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0290062K;Public;SANS OBJET;99
0290336H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0781664K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0951748J;Public;SANS OBJET;99
0950648N;Public;SANS OBJET;99
0630069H;Public;SANS OBJET;99
0420973E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9720350Y;Public;SANS OBJET;99
9720771F;Public;SANS OBJET;99
0340011C;Public;SANS OBJET;99
0750681H;Public;SANS OBJET;99
0761715B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9840002E;Public;SANS OBJET;99
9840386X;Public;SANS OBJET;99
0930833A;Public;SANS OBJET;99
0500026G;Public;SANS OBJET;99
0940124Z;Public;SANS OBJET;99
0595867G;Public;SANS OBJET;99
0430968U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130053M;Public;SANS OBJET;99
0560026Z;Public;SANS OBJET;99
0350777E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0320002D;Public;SANS OBJET;99
0060014H;Public;SANS OBJET;99
0133334D;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0383550C;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0690521S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0511901P;Public;SANS OBJET;99
0701078S;Public;SANS OBJET;99
0841117H;Public;SANS OBJET;99
0380032D;Public;SANS OBJET;99
0530016E;Public;SANS OBJET;99
0120025M;Public;SANS OBJET;99
0331556M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0860035W;Public;SANS OBJET;99
0330088S;Public;SANS OBJET;99
0312093G;Public;SANS OBJET;99
0680001G;Public;SANS OBJET;99
0311133N;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0061642C;Public;SANS OBJET;99
0470009E;Public;SANS OBJET;99
0330126H;Public;SANS OBJET;99
0790078F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0840026X;Public;SANS OBJET;99
0060673Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0121438Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130011S;Public;SANS OBJET;99
0320036R;Public;SANS OBJET;99
0080018B;Public;SANS OBJET;99
0310024H;Public;SANS OBJET;99
0300027S;Public;SANS OBJET;99
0570216A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0720012X;Public;SANS OBJET;99
0841158C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0740082M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0010006B;Public;SANS OBJET;99
0700009E;Public;SANS OBJET;99
0640124M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0260017C;Public;SANS OBJET;99
0120022J;Public;SANS OBJET;99
0810006S;Public;SANS OBJET;99
0251028G;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0860038Z;Public;SANS OBJET;99
0312938A;Public;SANS OBJET;99
0310047H;Public;SANS OBJET;99
0561641E;Public;SANS OBJET;99
0600002B;Public;SANS OBJET;99
0730016W;Public;SANS OBJET;99
0470060K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130160D;Public;SANS OBJET;99
0671609K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0711249X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0680066C;Public;SANS OBJET;99
0670089H;Public;SANS OBJET;99
0390019J;Public;SANS OBJET;99
0630034V;Public;SANS OBJET;99
0060674A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593141U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593104D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0573172N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0160065J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0251021Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0510034K;Public;SANS OBJET;99
0440029T;Public;SANS OBJET;99
0681885E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0070001N;Public;SANS OBJET;99
0310032S;Public;SANS OBJET;99
0090036R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9830507J;Public;SANS OBJET;99
0180006J;Public;SANS OBJET;99
0932618R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0133525L;Public;SANS OBJET;99
0920928J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9720726G;Public;SANS OBJET;99
0330109P;Public;SANS OBJET;99
0134155W;Public;SANS OBJET;99
0460026D;Public;SANS OBJET;99
0830098F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0440163N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0312686B;Public;SANS OBJET;99
0340042L;Public;SANS OBJET;99
0300023M;Public;SANS OBJET;99
0540034U;Public;SANS OBJET;99
0450110A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0932073Y;Public;SANS OBJET;99
0440256P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0910727W;Public;SANS OBJET;99
0750691U;Public;SANS OBJET;99
0341736C;Public;SANS OBJET;99
0540040A;Public;SANS OBJET;99
0030445T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610018N;Public;SANS OBJET;99
0910627M;Public;SANS OBJET;99
0920921B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0260113G;Public;SANS OBJET;99
0110023R;Public;SANS OBJET;99
0770942F;Public;SANS OBJET;99
0931584S;Public;SANS OBJET;99
0530049R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0450062Y;Public;SANS OBJET;99
0570054Z;Public;SANS OBJET;99
0772296C;Public;SANS OBJET;99
0941470M;Public;SANS OBJET;99
0762601P;Public;SANS OBJET;99
0932031C;Public;SANS OBJET;99
0930961P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0761356L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0932638M;Public;SANS OBJET;99
0761341V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0782924E;Public;SANS OBJET;99
0783549J;Public;SANS OBJET;99
0061478Z;Public;SANS OBJET;99
0271431J;Public;SANS OBJET;99
0671636P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750650Z;Public;SANS OBJET;99
0851401L;Public;SANS OBJET;99
0670081Z;Public;SANS OBJET;99
0442286W;Public;SANS OBJET;99
0830025B;Public;SANS OBJET;99
0850118S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0180005H;Public;SANS OBJET;99
