"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
38315;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"12 Boulevard Fayol";"Firminy";"42700";"seconde_troisieme_or_quatrieme"
38316;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38317;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38318;"26731005000294";"Santé";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles";"177 Rue de la Calamine";"Chambéry";"73000";"seconde_troisieme_or_quatrieme"
38319;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38320;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38321;"17510430600014";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"1 rue Navier";"Reims";"51100";"seconde_only"
38322;;"Tourisme";FAUX;;"8 RTE DE NOYERS BOCAGE";"Val d'Arry";"14210";"seconde_troisieme_or_quatrieme"
38358;;"Comptabilité, gestion, ressources humaines";FAUX;;"181 Quai Frissard";"Le Havre";"76600";"seconde_only"
38359;;"Social";FAUX;;"3 PLACE ALBERT RENE";"Le Havre";"76600";"seconde_troisieme_or_quatrieme"
38368;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"25bis Rue d’Ascq";"Argenteuil";"95100";"seconde_troisieme_or_quatrieme"
38382;;"Bâtiment et travaux publics (BTP)";FAUX;;"ZA ISYPOLE";"Isigny-sur-Mer";"14230";"seconde_troisieme_or_quatrieme"
38393;;"Agriculture";FAUX;;" ROUTE DE CONCHES";"Glisolles";"27190";"seconde_troisieme_or_quatrieme"
38398;;"Mode";FAUX;;"3 RUE BARTHELEMY THIMONNIER";"Ifs";"14123";"seconde_troisieme_or_quatrieme"
38402;;"Maintenance";FAUX;;"2 RUE LOUIS PASTEUR";"Hérouville-Saint-Clair";"14200";"seconde_troisieme_or_quatrieme"
38405;;"Maintenance";FAUX;;"RD·35 ";"Douvres-la-Délivrande";"14440";"seconde_troisieme_or_quatrieme"
38406;;"Maintenance";FAUX;;"1 avenue du maréchal foch ";"Le Tréport";"76470";"seconde_troisieme_or_quatrieme"
38407;;"Commerce et distribution";FAUX;;"1 avenue du maréchal foch ";"Le Tréport";"76470";"seconde_troisieme_or_quatrieme"
38408;;"Tourisme";FAUX;;"1 avenue du maréchal foch ";"Le Tréport";"76470";"seconde_troisieme_or_quatrieme"
38411;;"Commerce et distribution";FAUX;;"RD·35 ";"Douvres-la-Délivrande";"14440";"seconde_troisieme_or_quatrieme"
38412;;"Tourisme";FAUX;;"RD·35 ";"Douvres-la-Délivrande";"14440";"seconde_troisieme_or_quatrieme"
38421;"17380430300019";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"  7 PL BIR HAKEIM ";"GRENOBLE";"38185";"seconde_only"
38423;;"Hôtellerie, restauration";FAUX;;"8 RUE DES CROISIERS";"Caen";"14000";"seconde_troisieme_or_quatrieme"
38424;;"Bâtiment et travaux publics (BTP)";FAUX;;"Zone Industrielle";"Carpiquet";"14650";"seconde_troisieme_or_quatrieme"
38451;;"Bâtiment et travaux publics (BTP)";FAUX;;"210 RUE DE L AVENIR";"Verson";"14790";"seconde_troisieme_or_quatrieme"
38459;;"Industrie alimentaire";FAUX;;"11 AV DE LA LIBERTE";"Colombelles";"14460";"seconde_only"
38460;;"Enseignement";FAUX;;"  ESPLANADE DE LA PAIX";"Caen";"14000";"seconde_troisieme_or_quatrieme"
38478;;"Artisanat d'art";FAUX;;"[ND] [ND] [ND]";"Cresserons";"14440";"seconde_troisieme_or_quatrieme"
38490;;"Fonction publique";FAUX;;"21 RUE DE LA LIBERATION";"Saint-James";"50240";"seconde_troisieme_or_quatrieme"
38506;;"Bâtiment et travaux publics (BTP)";FAUX;;"60 RUE GENERAL DE GAULLE";"Envermeu";"76630";"seconde_troisieme_or_quatrieme"
38520;"19520017500014";"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Rue des Nouottes";"Fayl-Billot";"52500";"seconde_troisieme_or_quatrieme"
38531;;"Artisanat d'art";FAUX;;"  ZONE ARTISANALE";"Pont-Hébert";"50620";"seconde_troisieme_or_quatrieme"
38532;;"Artisanat d'art";FAUX;;"77 RUE DU DOYEN JUSSIAUME";"Le Neubourg";"27110";"seconde_troisieme_or_quatrieme"
38550;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Boulevard Pascal Rossini";"Ajaccio";"20000";"seconde_only"
38555;;"Maintenance";FAUX;;"338 RUE D ARQUES";"Saint-Nicolas-d'Aliermont";"76510";"seconde_troisieme_or_quatrieme"
38573;;"Artisanat d'art";FAUX;;" PL EDMOND PIEDAGNEL";"Agneaux";"50180";"seconde_troisieme_or_quatrieme"
38574;;"Artisanat d'art";FAUX;;"  LA GUILLOTERIE";"Chandai";"61300";"seconde_troisieme_or_quatrieme"
38587;;"Artisanat d'art";FAUX;;"24 RUE BORVILLE DUPUIS";"Évreux";"27000";"seconde_troisieme_or_quatrieme"
38589;;"Social";FAUX;;"14 RUE PAUL DOUMER";"Cherbourg-en-Cotentin";"50100";"seconde_troisieme_or_quatrieme"
38592;;"Hôtellerie, restauration";FAUX;;"37 PL DES CARMES";"Rouen";"76000";"seconde_troisieme_or_quatrieme"
