"id";"secteur";"public";"public_employer_type"
67022;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67023;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67024;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67025;"Bâtiment et travaux publics (BTP)";FAUX;
67026;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67027;"Automobile";FAUX;
67028;"Social";FAUX;
67029;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67030;"Bien-être";FAUX;
67031;"Social";FAUX;
67032;"Commerce et distribution";FAUX;
67033;"Social";FAUX;
67034;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67035;"Social";FAUX;
67036;"Hôtellerie, restauration";FAUX;
67037;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67038;"Fonction publique";VRAI;"Ministère des armées"
67039;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67040;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67041;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67042;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67043;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67044;"Énergie";FAUX;
67045;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67046;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67047;"Industrie, ingénierie industrielle";FAUX;
67049;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67050;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67051;"Enseignement";FAUX;
67053;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67054;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67055;"Fonction publique";VRAI;"Premier ministre"
67056;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67057;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67058;"Fonction publique";VRAI;"Premier ministre"
67059;"Fonction publique";VRAI;"Premier ministre"
67060;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67061;"Fonction publique";VRAI;"Ministère de la Culture"
67062;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67063;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67064;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67065;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67066;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67067;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67068;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67069;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67070;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67071;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67072;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
67074;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67077;"Fonction publique";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
67078;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67079;"Immobilier, transactions immobilières";FAUX;
67080;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67081;"Fonction publique";FAUX;
67082;"Commerce et distribution";FAUX;
67083;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67084;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67085;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67086;"Fonction publique";VRAI;"Ministère de l’Agriculture et de la Souveraineté alimentaire"
67087;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67088;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67090;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
