ACADEMIE;CODE_RNE (UAI);ID_ETAB_SCONET (ETAB_UAJ_Id);DIVISION (CLASSE);EFFECTIF DECLARE;MINISTERE
Aix-Marseille;0132280H;880;2 ESTH;26
Aix-Marseille;0132280H;880;2-GT;26
Aix-Marseille;0132280H;880;2-GT B;26
Aix-Marseille;0132280H;880;2ASSP;21
Aix-Marseille;0132280H;880;2NDPRO;26
Aix-Marseille;0040027H;380;2DE1;35
Aix-Marseille;0040027H;380;2DE2;35
Aix-Marseille;0040027H;380;2DE3;35
Aix-Marseille;0040027H;380;2DE4;35
Aix-Marseille;0040027H;380;2DE5;35
Aix-Marseille;0040027H;380;2DE6;35
Aix-Marseille;0050005D;386;1TMAS;18
Aix-Marseille;0050005D;386;2ATCBS;15
Aix-Marseille;0050005D;386;2BTCBS;15
Aix-Marseille;0050005D;386;2TCB;15
Aix-Marseille;0050005D;386;2MAMA;15
Aix-Marseille;0131398Z;856;2GT;8
Aix-Marseille;0133424B;927;2 ASSP-1;18
Aix-Marseille;0133424B;927;2 ASSP-2;18
Aix-Marseille;0133424B;927;2 GT;24
Aix-Marseille;0133424B;927;2GA-TL-1;18
Aix-Marseille;0133424B;927;2GA-TL-2;18
Aix-Marseille;0130143K;305;2 MTNE;15
Aix-Marseille;0130143K;305;45293;26
Aix-Marseille;0130143K;305;45324;26
Aix-Marseille;0130143K;305;45353;26
Aix-Marseille;0130143K;305;45384;26
Aix-Marseille;0130143K;305;45414;26
Aix-Marseille;0130143K;305;45445;26
Aix-Marseille;0130143K;305;45475;26
Aix-Marseille;0130143K;305;45506;26
Aix-Marseille;0130143K;305;45537;26
Aix-Marseille;0130143K;305;45567;26
Aix-Marseille;0130143K;305;45598;26
Aix-Marseille;0130143K;305;45628;26
Aix-Marseille;0130143K;305;41306;26
Aix-Marseille;0130143K;305;41671;26
Aix-Marseille;0130143K;305;42036;26
Aix-Marseille;0130143K;305;42401;25
Aix-Marseille;0130143K;305;2GA;30
Aix-Marseille;0130151U;307;2ASSP1;24
Aix-Marseille;0130151U;307;2ASSP2;12
Aix-Marseille;0130151U;307;2MRC1;24
Aix-Marseille;0130151U;307;2MRC2;24
Aix-Marseille;0130063Y;461;2BBE1;15
Aix-Marseille;0130063Y;461;2BBE2;15
Aix-Marseille;0130063Y;461;2MRC1;15
Aix-Marseille;0130063Y;461;2MRC2;15
Aix-Marseille;0130059U;536;2 TAO;15
Aix-Marseille;0130059U;536;2AGORA;30
Aix-Marseille;0130059U;536;2BPH;30
Aix-Marseille;0130059U;536;2MT;15
Aix-Marseille;0130059U;536;2OL;30
Aix-Marseille;0050004C;384;201;32
Aix-Marseille;0050004C;384;202;33
Aix-Marseille;0050004C;384;203;70
Aix-Marseille;0050004C;384;204;50
Aix-Marseille;0050004C;384;205;30
Aix-Marseille;0130071G;36;2 ASSP;24
Aix-Marseille;0130071G;36;2 MGA;24
Aix-Marseille;0130071G;36;2 MRC1;24
Aix-Marseille;0130071G;36;2 MRC2;24
Aix-Marseille;0130071G;36;2 MRC3;24
Aix-Marseille;0130038W;456;2D 1;35
Aix-Marseille;0130038W;456;2D 2;35
Aix-Marseille;0130038W;456;2D 3;35
Aix-Marseille;0130038W;456;2D 4;35
Aix-Marseille;0130038W;456;2D 5;35
Aix-Marseille;0130038W;456;2D 6;35
Aix-Marseille;0130038W;456;2D 7 SHN;35
Aix-Marseille;0130038W;456;2D 9 EUR;35
Aix-Marseille;0130038W;456;2D11;35
Aix-Marseille;0130038W;456;2D12;35
Aix-Marseille;0050009H;387;2AGORA;15
Aix-Marseille;0050009H;387;2ASSP;30
Aix-Marseille;0050009H;387;2MHR;24
Aix-Marseille;0130038W;456;2D 8 EUR;35
Aix-Marseille;0130038W;456;2D10;35
Aix-Marseille;0131484T;843;2NDMHR;23
Aix-Marseille;0131484T;843;2NDMRC1;29
Aix-Marseille;0131484T;843;2NDMRC2;29
Aix-Marseille;0840016L;254;2A;35
Aix-Marseille;0840016L;254;2B;35
Aix-Marseille;0840016L;254;2C;35
Aix-Marseille;0840016L;254;2D;40
Aix-Marseille;0840016L;254;2E;35
Aix-Marseille;0840016L;254;2F;30
Aix-Marseille;0840016L;254;2G;35
Aix-Marseille;0840016L;254;2GATL;30
Aix-Marseille;0840016L;254;2H;35
Aix-Marseille;0840016L;254;2I;35
Aix-Marseille;0840016L;254;2J;35
Aix-Marseille;0840016L;254;2MRC1;30
Aix-Marseille;0840016L;254;2MRC2;30
Aix-Marseille;0840016L;254;2MRC3;30
Aix-Marseille;0840016L;254;2NDULIS;10
Aix-Marseille;0131403E;891;0,0833333333333333;28
Aix-Marseille;0131403E;891;2 B;24
Aix-Marseille;0131403E;891;2 C;27
Aix-Marseille;0131403E;891;2GATL;13
Aix-Marseille;0131403E;891;2MRC;25
Aix-Marseille;0130058T;534;2MS;24
Aix-Marseille;0130058T;534;2MTNE;12
Aix-Marseille;0130058T;534;2MRC;24
Aix-Marseille;0130011S;155;2DE01;26
Aix-Marseille;0130011S;155;2DE02;28
Aix-Marseille;0130011S;155;2DE03;27
Aix-Marseille;0130011S;155;2DE04;25
Aix-Marseille;0130011S;155;2DE05;27
Aix-Marseille;0130011S;155;2DE06;31
Aix-Marseille;0130011S;155;2DE07;31
Aix-Marseille;0130011S;155;2DE08;33
Aix-Marseille;0130011S;155;2DE09;31
Aix-Marseille;0130011S;155;2DE10;31
Aix-Marseille;0133525L;432;201;35
Aix-Marseille;0133525L;432;202;35
Aix-Marseille;0133525L;432;203;35
Aix-Marseille;0133525L;432;204;35
Aix-Marseille;0133525L;432;205;35
Aix-Marseille;0133525L;432;206;35
Aix-Marseille;0133525L;432;207;24
Aix-Marseille;0133525L;432;208;35
Aix-Marseille;0133525L;432;209;35
Aix-Marseille;0133525L;432;210;35
Aix-Marseille;0133525L;432;211;35
Aix-Marseille;0133525L;432;212;35
Aix-Marseille;0133525L;432;213;35
Aix-Marseille;0133525L;432;214;35
Aix-Marseille;0133525L;432;215;35
Aix-Marseille;0133525L;432;216;24
Aix-Marseille;0040011R;350;2B MTNE;30
Aix-Marseille;0040011R;350;2B MVM;30
Aix-Marseille;0040011R;350;2BGLT;15
Aix-Marseille;0040011R;350;2BMH;24
Aix-Marseille;0040011R;350;2BMRC1;30
Aix-Marseille;0040011R;350;2BMRC2;15
Aix-Marseille;0040011R;350;2BMRC3;30
Aix-Marseille;0840017M;164;201;35
Aix-Marseille;0840017M;164;202;35
Aix-Marseille;0840017M;164;203;35
Aix-Marseille;0840017M;164;204;35
Aix-Marseille;0840017M;164;205;35
Aix-Marseille;0840017M;164;206;35
Aix-Marseille;0840017M;164;207;35
Aix-Marseille;0840017M;164;208;35
Aix-Marseille;0840017M;164;209;35
Aix-Marseille;0840017M;164;210;35
Aix-Marseille;0840017M;164;211;35
Aix-Marseille;0840017M;164;212;35
Aix-Marseille;0132828D;946;2-PRO;20
Aix-Marseille;0132828D;946;2DEGTA;25
Aix-Marseille;0132828D;946;2DEGTB;25
Aix-Marseille;0050005D;386;2BMAMAS;15
Aix-Marseille;0050007F;389;2DE1;35
Aix-Marseille;0050007F;389;2DE2;35
Aix-Marseille;0050007F;389;2DE3;35
Aix-Marseille;0050007F;389;2DE4;35
Aix-Marseille;0050007F;389;2DE5;35
Aix-Marseille;0050007F;389;2DE6;35
Aix-Marseille;0050007F;389;2DE7;35
Aix-Marseille;0050007F;389;2DE8;35
Aix-Marseille;0050007F;389;2DE9;35
Aix-Marseille;0130006L;413;2GATL;30
Aix-Marseille;0130006L;413;2PROMRC1;30
Aix-Marseille;0130006L;413;2PROMRC2;30
Aix-Marseille;0130006L;413;2PROMRC3;30
Aix-Marseille;0130065A;93;2ANIM;24
Aix-Marseille;0130065A;93;2ASSP1;24
Aix-Marseille;0130065A;93;2ASSP2;24
Aix-Marseille;0130065A;93;2MRC 1;24
Aix-Marseille;0130065A;93;2MRC 2;24
Aix-Marseille;0132810J;905;2A;32
Aix-Marseille;0132810J;905;2B;33
Aix-Marseille;0132810J;905;2C;31
Aix-Marseille;0132810J;905;2D;31
Aix-Marseille;0130002G;412;2NDE01;35
Aix-Marseille;0130002G;412;2NDE02;35
Aix-Marseille;0130002G;412;2NDE03;35
Aix-Marseille;0130002G;412;2NDE04;35
Aix-Marseille;0130002G;412;2NDE05;35
Aix-Marseille;0130002G;412;2NDE06;35
Aix-Marseille;0130002G;412;2NDE07;35
Aix-Marseille;0130002G;412;2NDE08;35
Aix-Marseille;0130002G;412;2NDE09;35
Aix-Marseille;0130002G;412;2NDE10;35
Aix-Marseille;0130002G;412;2NDE11;35
Aix-Marseille;0130002G;412;2NDE12;35
Aix-Marseille;0130002G;412;2NDE13;35
Aix-Marseille;0130002G;412;2NDE14;35
Aix-Marseille;0130002G;412;2NDE15;35
Aix-Marseille;0130161E;133;201;35
Aix-Marseille;0130161E;133;202;35
Aix-Marseille;0130161E;133;203;35
Aix-Marseille;0130161E;133;204;35
Aix-Marseille;0130161E;133;205;35
Aix-Marseille;0130161E;133;206;35
Aix-Marseille;0130161E;133;207;35
Aix-Marseille;0130161E;133;208;35
Aix-Marseille;0130161E;133;209;35
Aix-Marseille;0130161E;133;210;35
Aix-Marseille;0130161E;133;211;35
Aix-Marseille;0130161E;133;212;35
Aix-Marseille;0130161E;133;213;35
Aix-Marseille;0130161E;133;214;24
Aix-Marseille;0130161E;133;2ASSP;30
Aix-Marseille;0130161E;133;2GATL;30
Aix-Marseille;0130161E;133;2RC1;30
Aix-Marseille;0130161E;133;2RC2;30
Aix-Marseille;0130161E;133;2REMI;30
Aix-Marseille;0130161E;133;2TNE1;30
Aix-Marseille;0130161E;133;2TNE2;15
Aix-Marseille;0130013U;513;2AEPA;15
Aix-Marseille;0130013U;513;2MGATL;30
Aix-Marseille;0130013U;513;2MRC 1;22
Aix-Marseille;0130013U;513;2MRC 2;23
Aix-Marseille;0130013U;513;2MTNE;15
Aix-Marseille;0133244F;490;2ASSP1;23
Aix-Marseille;0133244F;490;2ASSP2;24
Aix-Marseille;0133244F;490;2GT01;36
Aix-Marseille;0133244F;490;2GT02;35
Aix-Marseille;0133244F;490;2GT03;35
Aix-Marseille;0133244F;490;2GT04;36
Aix-Marseille;0133244F;490;2GT05;35
