uai;type_etab;nom_etablissement;adresse;code_postal;commune;position;voie_generale;voie_techno;voie_pro;etab_mere;nbeleves;voie_gt;rentree_scolaire;nombre_d_eleves;2ndes_gt;_merge;nbeleves_est;2des_est
0290023T;Lycée;Lycée Jean Moulin;10 rue du Lycée;29150.0;Châteaulin;48.193823995887264, -4.088599517737715;1.0;1.0;0.0;;556.0;True;2022.0;556.0;187.0;both;556.0;187.0
0762442S;Lycée;Lycée polyvalent Saint-Joseph;Château de Mesnières-en-Bray;76270.0;Mesnières-en-Bray;49.767657150279305, 1.3734518818868366;0.0;1.0;1.0;;96.0;True;2022.0;33.0;0.0;both;33.0;-56.0
0772688D;Lycée;Lycée polyvalent de Serris Emilie du Châtelet;35 cours du Danube;77700.0;Serris;48.85680242516287, 2.778926580285108;1.0;1.0;1.0;;1286.0;True;2022.0;1151.0;414.0;both;1151.0;414.0
0570029X;Lycée;Lycée Jean Moulin;7 rue Maurice Barrès;57600.0;Forbach;49.18295045559623, 6.908100087074817;1.0;0.0;0.0;;550.0;True;2022.0;550.0;209.0;both;550.0;209.0
0761708U;Lycée;Lycée privé Fénelon;2 rue d'Alsace;76501.0;Elbeuf;49.28993247243845, 1.0149605949793863;1.0;1.0;0.0;;406.0;True;2022.0;406.0;145.0;both;406.0;145.0
0140052F;Lycée;Lycée Guillaume le Conquérant;3 rue Louis Liard;14700.0;Falaise;48.89416983366997, -0.1949214535548879;1.0;1.0;1.0;;876.0;True;2022.0;641.0;229.0;both;641.0;229.0
0561627P;Lycée;Lycée Charles de Gaulle;23 avenue Paul Cézanne;56017.0;Vannes;47.67611387292, -2.772506466495094;1.0;1.0;0.0;;958.0;True;2022.0;958.0;340.0;both;958.0;340.0
0350918H;Lycée;Lycée les Vergers;4 rue des Murets;35120.0;Dol-de-Bretagne;48.55221079453671, -1.7536397212408645;0.0;1.0;1.0;;;True;;;;left_only;646.0;146.0
9720616M;Lycée;Etablissement public local d'enseignement et de formation professionnelle agricole;Quartier Bois Rouge;97224.0;Ducos;14.608725170380888, -60.96246979255876;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0160006V;Lycée;Lycée agricole l'Oisellerie d'Angoulême;L'Oisellerie;16400.0;La Couronne;45.623647134075085, 0.10416727202079397;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0840218F;Lycée;Lycée Professionnel Agricole;2260 route du Grès;84100.0;Orange;44.10264609448201, 4.80327101675756;0.0;1.0;1.0;;;True;;;;left_only;646.0;146.0
0382371W;Lycée;Lycée Paul Claudel;2 route de Volgeat;38460.0;Villemoirieu;45.72348601065351, 5.217195983484661;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0932260B;Lycée;Lycée polyvalent Georges Brassens;Rue des Bancs Publics;93420.0;Villepinte;48.95658796652309, 2.5345864777464833;0.0;1.0;1.0;;727.0;True;2022.0;179.0;60.0;both;179.0;60.0
0140014P;Lycée;Lycée Augustin Fresnel;77 rue Eustache Restout;14066.0;Caen;49.1638472588597, -0.35519374304232526;1.0;1.0;0.0;;1148.0;True;2022.0;1148.0;407.0;both;1148.0;407.0
0030036Y;Lycée;Lycée général Théodore de Banville;12 cours Vincent d'Indy;3017.0;Moulins;46.5688932701685, 3.3279897502624785;1.0;0.0;0.0;;1008.0;True;2022.0;1008.0;348.0;both;1008.0;348.0
0100046W;Lycée;Lycée Saint-François de Sales;11 rue Général Saussier;10000.0;Troyes;48.2955040579674, 4.074279821855971;1.0;0.0;0.0;;368.0;True;2022.0;368.0;127.0;both;368.0;127.0
0622803K;Lycée;Lycée général et technologique Blaise Pascal;rue Blaise Pascal;62967.0;Longuenesse;50.73867971356185, 2.2561397443597024;1.0;1.0;0.0;;962.0;True;2022.0;962.0;326.0;both;962.0;326.0
0720896H;Lycée;Prytanée national militaire;22 rue du Collège;72208.0;La Flèche;47.70028018105913, -0.07525708467345597;1.0;0.0;0.0;;;True;;;;left_only;646.0;235.0
