name,city,department,zipcode,code_uai,coordinates,street,created_at,updated_at,city_tsv,kind,visible,internship_agreement_online,fetched_school_phone
Guy Mareschal,Amiens,Somme,80090,0801616X,POINT (2.32946 49.8719),2 Rue Elsa Triolet,2019-08-07 10:51:42 +0200,2024-01-04 12:40:36 +0100,'amien':1 'guy':2 'mareschal':3,rep_plus,true,false,
Le Moulin à Vent,Cergy,Val-d'Oise,95800,0951697D,POINT (2.01933 49.0474),24 Avenue du Terroir,2019-08-07 10:51:43 +0200,2024-01-04 12:40:36 +0100,'a':4 'cergy':1 'le':2 'moulin':3 'vent':5,rep,true,false,
Saint-Exupéry,Sainte-Mère-Église,Manche,50480,0500068C,POINT (-1.3117332 49.41070310000001),"",2019-08-07 10:51:44 +0200,2024-01-04 12:40:36 +0100,"'eglis':4 'exupery':7 'mer':3 'saint':2,6 'saint-exupery':5 'sainte-mere-eglis':1",rep,true,false,
Germain Saint-Ruf,Capesterre-Belle-Eau,Guadeloupe,97130,9710406P,POINT (-61.5649 16.0517),Allée des Flamboyants,2019-08-07 10:51:45 +0200,2024-01-04 12:40:36 +0100,'bel':3 'capesterr':2 'capesterre-belle-eau':1 'eau':4 'germain':5 'ruf':8 'saint':7 'saint-ruf':6,rep,true,false,
du Cap,Luri,Haute-Corse,20228,7200027S,POINT (9.40521 42.8966),,2019-11-20 17:50:45 +0100,2024-01-04 12:40:36 +0100,'cap':3 'du':2 'lur':1,rep,true,false,
Romain Rolland,Nîmes,Gard,30000,0300025P,POINT (4.3889828 43.8443066),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'nim':1 'rolland':3 'romain':2,rep_plus,true,false,
Eugène Vigne,Beaucaire,Gard,30300,0301208A,POINT (4.637713499999999 43.8101035),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'beaucair':1 'eugen':2 'vign':3,rep_plus,true,false,
Descartes,Le Havre,Seine-Maritime,76620,0761739C,POINT (0.1092686 49.5197156),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'descart':3 'havr':2 'le':1,rep_plus,true,false,
Les Perrières,Annonay,Ardèche,07100,0071156U,POINT (4.667349 45.239403),,2019-08-07 10:51:46 +0200,2024-01-04 14:51:12 +0100,'annonay':1 'le':2 'perrier':3,rep,true,false,
Gérard Holder,Cayenne,Guyane,97300,9730083C,POINT (-52.3061 4.93842),Rocade Zéphir,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'cayen':1 'gerard':2 'hold':3,rep_plus,true,false,
Paul Feval,Dol-de-Bretagne,Ille-et-Vilaine,35120,0350708E,POINT (-1.7652453 48.53917020000001),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'bretagn':4 'de':3 'dol':2 'dol-de-bretagn':1 'feval':6 'paul':5,rep,true,false,
Golfe des Pictons,L'Île-d'Elle,Vendée,85770,0850014D,POINT (-0.9498021999999999 46.3288063),,2019-08-07 10:51:44 +0200,2020-01-31 14:49:17 +0100,'d':4 'de':7 'elle':5 'golf':6 'ile':3 'ile-d':2 'l':1 'picton':8,rep,true,false,
