EP 2023-2024;Numéro d'établissement;Patronyme;Appartenance à un REP 2015 Lib L;Appartenance à un REPPLUS Lib L;En QPV 2024 DEPP oui/non
Hors EP;0680159D;SAINT JOSEPH DE CLUNY;NON;NON;Dans QP
Hors EP;0680161F;INSTITUTION DON BOSCO;NON;NON;Dans QP
Hors EP;0681656F;INSTITUTION SAINT JEAN;NON;NON;
Hors EP;0090045A;LES JACOBINS;NON;NON;Dans QP
Hors EP;0120105Z;JEANNE D'ARC;NON;NON;Dans QP
Hors EP;0121260E;SAINT-JOSEPH;NON;NON;Dans QP
Hors EP;0121309H;SAINT-JOSEPH;NON;NON;
Hors EP;0121429N;LOUIS QUERBES;NON;NON;Dans QP
Hors EP;0320652K;ORATOIRE SAINTE-MARIE;NON;NON;
Hors EP;0311190A;JASMIN COIFFURE;NON;NON;Dans QP
Hors EP;0311200L;AIRBUS - TOULOUSE;NON;NON;
Hors EP;0311219G;SAINTE-MARIE SAINT-SERNIN;NON;NON;
Hors EP;0311970Y;SAINTE-MARIE DE NEVERS;NON;NON;
Hors EP;0311971Z;LES POTIERS;NON;NON;
Hors EP;0312062Y;ISSEC PIGIER;NON;NON;Dans QP
Hors EP;0312063Z;CASTELNOUVEL;NON;NON;
Hors EP;0312064A;MYRIAM;NON;NON;
Hors EP;0312065B;SAINT-JOSEPH - LA SALLE;NON;NON;
Hors EP;0312191N;ORT MAURICE GRYNFOGEL;NON;NON;Dans QP
Hors EP;0312579K;DYNAMECA;NON;NON;Dans QP
Hors EP;0650067V;VINCENT DE PAUL;NON;NON;Dans QP
Hors EP;0650886K;SAINT-PIERRE PRADEAU LA SEDE;NON;NON;Dans QP
Hors EP;0460050E;SAINT-ETIENNE;NON;NON;
Hors EP;0811175M;DE LA SALLE CASTRES;NON;NON;Dans QP
Hors EP;0810100U;SAINT-DOMINIQUE;NON;NON;Dans QP
Hors EP;0810105Z;DE LA SALLE CASTRES;NON;NON;Dans QP
Hors EP;0810108C;ENSEMBLE SCOLAIRE JEANNE D'ARC;NON;NON;
Hors EP;0810113H;NOTRE-DAME;NON;NON;Dans QP
Hors EP;0811070Y;SAINTE-CECILE;NON;NON;Dans QP
Hors EP;0820061W;PIERRE MARIE THEAS;NON;NON;Dans QP
Hors EP;0820551D;SAINT-LUBIN - APPRENTIS D'AUTE;NON;NON;
Hors EP;0820885S;DE COIFFURE SKHOLE D'ART;NON;NON;Dans QP
Hors EP;0911264E;INSTITUT ET CAMPUS D'OPTIQUE -;NON;NON;Dans QP
Hors EP;0920963X;SAINT FRANCOIS D ASSISE;NON;NON;
Hors EP;0920981S;SAINT PHILIPPE;NON;NON;
Hors EP;0921932A;LA SALLE PASSY BUZENVAL;NON;NON;
Hors EP;0951998F;GARAC;NON;NON;Dans QP
Hors EP;0950800D;COGNACQ-JAY;NON;NON;Dans QP
Hors EP;0950804H;NOTRE-FAMILLE;NON;NON;
Hors EP;0950805J;SAINT JEAN L'HERMITAGE;NON;NON;Dans QP
Hors EP;0781581V;ST THOMAS DE VILLENEUVE;NON;NON;
Hors EP;0781582W;NOTRE-DAME DU GRANDCHAMP;NON;NON;
Hors EP;0781856U;SAINT EREMBERT;NON;NON;
Hors EP;0782100J;LES CHATAIGNIERS;NON;NON;
Hors EP;0783537W;NOTRE DAME;NON;NON;Dans QP
Hors EP;0040007L;BEAU DE ROCHAS;NON;NON;Dans QP
Hors EP;0040011R;LOUIS MARTIN BRET;NON;NON;Dans QP
Hors EP;0132974M;LYCEE REGIONAL HOTELIER JEAN-P;NON;NON;Dans QP
Hors EP;0130006L;GAMBETTA;NON;NON;
Hors EP;0130013U;GUSTAVE EIFFEL;NON;NON;Dans QP
Hors EP;0130033R;LOUIS BLERIOT;NON;NON;Dans QP
Hors EP;0130054N;POINSO-CHAPUIS;NON;NON;Dans QP
Hors EP;0130055P;CHATELIER (LE);NON;NON;Dans QP
Hors EP;0130056R;LA FLORIDE;NON;NON;Dans QP
Hors EP;0130057S;RENE CAILLIE;NON;NON;Dans QP
Hors EP;0130058T;ESTAQUE (L');NON;NON;Dans QP
Hors EP;0130059U;BLAISE PASCAL;NON;NON;
