Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0750664P,Lycée Racine,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0752529S,,
0750653C,Lycée Sophie Germain,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0752525M,,
0750669V,Lycée Jules Ferry,Lycée,Public,0,0,0,,302,LYCEE D ENSEIGNEMENT GENERAL,0752533W,,
0752249M,Collège Jules Romains,Collège,Public,0,0,0,,340,COLLEGE,0752528R,,
0351850W,Collège Camille Guérin,Collège,Public,0,0,0,,340,COLLEGE,0351850W,,
0292047T,Lycée du Léon,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0290153J,,
0561758G,Lycée horticole du Talhouët,Lycée,Public,0,1,0,,320,LYCEE PROFESSIONNEL,,0560274U,
0290031B,Collège du Porzou,Collège,Public,0,0,0,,340,COLLEGE,0290132L,,
0291661Y,Collège Anna Marly,Collège,Public,1,0,0,,340,COLLEGE,0290131K,,
0492224B,Lycée polyvalent de l'Hyrôme,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0492224B,,
0851662V,Collège Michel Ragon,Collège,Public,0,0,0,,340,COLLEGE,0851662V,,
0660699B,Lycée général et technologique agricole Garcia Lorca,Lycée,Public,0,1,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0110677B,Lycée général et technologique agricole Pierre-Paul Riquet,Lycée,Public,0,1,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0301012M,Collège Léo Larguier,Collège,Public,0,0,0,,340,COLLEGE,0301012M,,
0341028H,Collège Georges Brassens,Collège,Public,0,0,0,,340,COLLEGE,0341028H,,
0120025M,Lycée polyvalent Jean Jaurès,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0120025M,,
0750788Z,LP Marcel Deprez,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0750788Z,,
0750681H,Lycée polyvalent ESAA - École Boulle,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0750680G,,
0752524L,Collège Victor Hugo,Collège,Public,0,0,0,,340,COLLEGE,0752525M,,
0752534X,Collège Alphonse de Lamartine,Collège,Public,0,0,0,,340,COLLEGE,0752532V,,
0752551R,Collège Molière,Collège,Public,0,0,0,,340,COLLEGE,0752551R,,
0290022S,Lycée polyvalent Paul Sérusier,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0291102R,,
0221568K,Collège Eugène Guillevic,Collège,Public,0,0,0,,340,COLLEGE,0221028Y,,
0560058J,Collège Yves Coppens,Collège,Public,0,0,0,,340,COLLEGE,0560058J,,
0560006C,Collège Les Korrigans,Collège,Public,0,0,0,,340,COLLEGE,0560009F,,
0351791G,Collège Louis Guilloux,Collège,Public,1,0,0,,340,COLLEGE,0351791G,,
0352589Z,Collège Jean Moulin,Collège,Public,0,0,0,0,,340,99,0352589Z,
0820007M,Collège Pierre Darasse,Collège,Public,1,0,0,,340,COLLEGE,0820007M,,
0312697N,Collège Flora Tristan,Collège,Public,0,0,0,,340,COLLEGE,0312697N,,
0120011X,Collège Pierre Soulages,Collège,Public,0,0,0,,340,COLLEGE,0120011X,,
0810027P,Collège du Montalet,Collège,Public,1,0,0,,340,COLLEGE,0810027P,,
