uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0750693W;Lycée;Lycée Buffon;16 boulevard Pasteur;75015;Paris;1.0;0.0;;
0300023M;Lycée;Lycée Albert Camus;51 avenue Georges Pompidou;30911;Nîmes;1.0;1.0;;
0330088S;Lycée;Lycée Max Linder;43 allée Robert Boulin;33505;Libourne;1.0;1.0;;
0800010B;Lycée;Lycée Madeleine Michelis;43 rue des Otages;80037;Amiens;1.0;0.0;;
0060033D;Lycée;Lycée Honoré d'Estienne d'Orves;13 avenue Honoré d'Estienne d'Orves;6050;Nice;1.0;1.0;;
0600013N;Lycée;Lycée Cassini;11 rue Henri Breuil;60607;Clermont;1.0;1.0;;
0730037U;Lycée;Lycée polyvalent Paul Héroult;307 avenue du Mont Cenis;73302;Saint-Jean-de-Maurienne;1.0;1.0;;
0840935K;Lycée;Lycée polyvalent René Char;2 rue Pierre Auguste Renoir;84033;Avignon;1.0;1.0;;
0331506H;Lycée;Lycée privé Montesquieu;31 rue Jules Simon;33500;Libourne;1.0;1.0;;
0870019Y;Lycée;Lycée polyvalent Suzanne Valadon;39 rue François Perrin;87032;Limoges;1.0;1.0;;
0130160D;Lycée;Lycée de l'Empéri;21 montée du Puech;13657;Salon-de-Provence;1.0;1.0;;
0950645K;Lycée;Lycée Van Gogh;Rue du Général Decaen;95120;Ermont;1.0;1.0;;
0590282L;Lycée;Lycée Jules Mousseron;Boulevard du 8 Mai 1945;59723;Denain;1.0;1.0;;
0160003S;Lycée;Lycée Marguerite de Valois;12 rue Louise Lériget;16023;Angoulême;1.0;1.0;;
0595867G;Lycée;Lycée international Montebello;196 boulevard Montebello;59006;Lille;1.0;1.0;;
0950649P;Lycée;Lycée Camille Pissarro;1 rue Henri Matisse;95300;Pontoise;1.0;1.0;;
0300080Z;Lycée;Lycée privé polyvalent Institut Emmanuel d'Alzon - site de Nîmes;11 rue Sainte Perpétue;30000;Nîmes;1.0;1.0;;
0020012C;Lycée;Lycée polyvalent Jean de La Fontaine;2 rue de Mosbach;2404;Château-Thierry;1.0;1.0;;
0624430D;Lycée;Lycée Gambetta Carnot;25 boulevard Carnot;62022;Arras;1.0;1.0;;
0381603L;Lycée;Lycée polyvalent André Argouges;61 rue Léon Jouhaux;38029;Grenoble;1.0;1.0;;
0710011B;Lycée;Lycée général Pontus de Tyard;13 rue des Gaillardons;71321;Chalon-sur-Saône;1.0;0.0;;
0480007X;Lycée;Lycée Chaptal;Avenue Paulin Daudé;48001;Mende;1.0;0.0;;
